sku,_store,_attribute_set,_type,diamondprice,diamondtotalweight,gemstoneprice,gemstonetotalweight,goldprice,goldweight,grade,has_options,height,makingcharge,minimal_price,price,ringsize,status,tax_class_id,totalnoofdiamonds,totalnoofgemstone,vat,visibility,weight,width,_associated_sku,_associated_default_qty,_associated_position,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
BR0035A-si-gh-43x53,,jewel,simple,59500,0.85,6489,6.17,23511.76,11.336,SI-GH,0,48,8502,,98982.79,H - 43 mm x W - 53 mm - (2.2),1,7,127,118,980.03,1,0,58,,,,,,,
BR0035A-si-gh-44x54,,jewel,simple,59500,0.85,6489,6.17,25585.84,12.336,SI-GH,0,48,9252,,101835.11,H - 44 mm x W - 54 mm - (2.3),1,7,127,118,1008.27,1,0,58,,,,,,,
BR0035A-si-gh-45x55,,jewel,simple,59500,0.85,6489,6.17,27659.92,13.336,SI-GH,0,48,10002,,104687.43,H - 45 mm x W - 55 mm - (2.4),1,7,127,118,1036.51,1,0,58,,,,,,,
BR0035A-si-gh-48x58,,jewel,simple,59500,0.85,6489,6.17,29734,14.336,SI-GH,0,48,10752,,107539.75,H - 48 mm x W - 58 mm - (2.5),1,7,127,118,1064.75,1,0,58,,,,,,,
BR0035A-si-gh-50x60,,jewel,simple,59500,0.85,6489,6.17,31808.08,15.336,SI-GH,0,48,11502,,110392.07,H - 50 mm x W - 60 mm - (2.6),1,7,127,118,1092.99,1,0,58,,,,,,,
BR0035A-vvs-ef-43x53,,jewel,simple,87550,0.85,6489,6.17,23511.76,11.336,VVS-EF,0,48,8502,,127313.29,H - 43 mm x W - 53 mm - (2.2),1,7,127,118,1260.53,1,0,58,,,,,,,
BR0035A-vvs-ef-44x54,,jewel,simple,87550,0.85,6489,6.17,25585.84,12.336,VVS-EF,0,48,9252,,130165.61,H - 44 mm x W - 54 mm - (2.3),1,7,127,118,1288.77,1,0,58,,,,,,,
BR0035A-vvs-ef-45x55,,jewel,simple,87550,0.85,6489,6.17,27659.92,13.336,VVS-EF,0,48,10002,,133017.93,H - 45 mm x W - 55 mm - (2.4),1,7,127,118,1317.01,1,0,58,,,,,,,
BR0035A-vvs-ef-48x58,,jewel,simple,87550,0.85,6489,6.17,29734,14.336,VVS-EF,0,48,10752,,135870.25,H - 48 mm x W - 58 mm - (2.5),1,7,127,118,1345.25,1,0,58,,,,,,,
BR0035A-vvs-ef-50x60,,jewel,simple,87550,0.85,6489,6.17,31808.08,15.336,VVS-EF,0,48,11502,,138722.57,H - 50 mm x W - 60 mm - (2.6),1,7,127,118,1373.49,1,0,58,,,,,,,
BR0035A,,jewel,configurable,59500,0.85,6489,6.17,29734,14.336,,1,48,10752,,107540,,1,7,127,118,1065,4,0,58,,,,BR0035A-si-gh-43x53,grade,SI-GH,98982.79
BR0035B-si-gh-43x53,,jewel,simple,59500,0.85,6489,6.17,23511.76,11.336,SI-GH,0,48,8502,,98982.79,H - 43 mm x W - 53 mm - (2.2),1,7,127,118,980.03,1,0,58,,,,,,,
BR0035B-si-gh-44x54,,jewel,simple,59500,0.85,6489,6.17,25585.84,12.336,SI-GH,0,48,9252,,101835.11,H - 44 mm x W - 54 mm - (2.3),1,7,127,118,1008.27,1,0,58,,,,,,,
