sku,name,,
NK0002A,Fire Kiln Necklace,,
NK0009B,Green Rampant Necklace,,
NK0009A,Blue Constellation Necklace,,
NK0012A,Purple Drops Necklace,,
NK0012B,Sparkling Christmas Necklace,,
NK0005A,Rolling Waves Necklace,,
NK0007B,Sunlight Citrine Necklace,,
NK0007A,Purple Royale Necklace,,
NK0006A,Grand Galaxias Necklace,,
NK0011A,Golden Eye Necklace,,
NK0004A,Garnered Green Necklace,,
NK0008A,Luminous Marquise Necklace,,
NK0010A,Helios and Hoops Necklace,,
NK0001A,Red Princeza Necklace,,
NK0014A,Curvaceous Queen Necklace,,
NK0015A,Blooming Lotus Necklace,,
NK0016A,Glorious Green Necklace,,
NK0017A,Pearl Vine Necklace,,
NK0018A,Jewel of the Sea Necklace,,
NK0020A,Lily of the Valley Necklace,,
NK0021A,Regal Splendor Necklace,,
NK0022A,Fairy's Fantasy Necklace,,
NK0023A,Pledge of Affection Necklace,,
BR0036A,Green Square Bracelet,,
BR0002A,The Intertwined Bracelet,,
BR0008A,The Infinity Bracelet,,
BR0015A,Dazzling Dream Bracelet,,
BR0029A,Fraternal Bond Bracelet,,
BR0013A,Filigree Fantasy Bracelet,,
BR0031A,Attractive Opposites Bracelet,,
BR0004A,Virtuous Verdant Bracelet,,
BR0009A,The Green Connect Bracelet,,
BR0018A,Crimson Cluster Bracelet,,
BR0038A,Ethereal Eva Bracelet,,
BR0037A,Forest Flora Bracelet,,
BR0033A,Pearl of Wisdom Bracelet,,
BR0012A,Sophistiqué Senorita Bracelet,,
BR0025A,Simple Jane Bangle,,
BR0010A,Locked Embrace Bracelet,,
BR0023A,A Tale of Two Pearls Bracelet,,
BR0011A,Committed Love Diamonds,,
BR0026A,Eligere Eva Bangle,,
BR0027A,Ethnic Elegance Bangle,,
BR0022A,Celebration Citrine Bracelet,,
BR0001A,Royale Blue Bracelet,,
BR0036B,Red Square Bracelet,,
BR0024A,Gold Tinsel Bracelet,,
BR0024B,White Tinsel Bracelet,,
BR0024C,Pink Tinsel Bracelet,,
BR0028A,Portia's Passion in Yellow Gold,,
BR0028B,Portia's Passion in White Gold,,
BR0028C,Portia's Passion in Pink Gold,,
BR0030A,Smitten by the Green Bug Bracelet,,
BR0032A,Celestial Eclipse Bracelet,,
BR0034A,Yin-Yang Bracelet,,
BR0035A,Captivating Green Comet Bracelet,,
BR0035B,Captivating Red Comet Bracelet,,
BR0039A,Bejeweled Bugle Bracelet,,
BR0040A,Elliptic Elegance Bracelet,,
BR0041A,Dazzling Delta Bracelet,,
BR0043A,Bianca Beauty Bangle,,
RG0001A,Dazzling Yellow Duet Ring,,
RG0001B,Dazzling White Duet Ring,,
RG0002A,Diamonds Four-ever Ring,,
RG0003A,Radiant Sun Ring,,
RG0005A,Seal of Love Ring,,
RG0006A,Flawless Fantasy Ring,,
RG0007A,Twinkling Tania in Yellow Gold Ring,,
RG0007B,Twinkling Tania in Pink Gold Ring,,
RG0007C,Twinkling Tania in White Gold Ring,,
RG0008A,Bold Green Broughton Ring,,
RG0008B,Bold Red Broughton Ring,,
RG0009A,Pristine Elegance Ring,,
RG0011A,Debonair Diamond Ring,,
RG0015A,Smiling Sunflower Ring,,
RG0016A,Quaint Quetzal Ring,,
RG0017A,Demure Dazzle in Yellow Gold Ring,,
RG0017B,Demure Dazzle in Pink Gold Ring,,
RG0017C,Demure Dazzle in White Gold Ring,,
RG0018A,Crimson and Clover Ring,,
RG0019A,Passion of Persia Ring,,
RG0020A,Precious Pandora Ring,,
RG0022A,Dragon Ball Ring,,
RG0030A,Royal Halo Ring,,
RG0031A,Golden Harvest Ring,,
RG0032A,Magnificent Marigold Ring,,
RG0033A,Radiant Rainbow Ring,,
RG0036A,Argyle Allure Ring,,
RG0037A,Midnight Helix Ring,,
RG0040A,Dionysus' Diamond Ring,,
RG0042A,Persian Pride Ring,,
RG0044A,Jewel of Athena Ring,,
RG0046A,Radiant White Rigel Ring,,
RG0046B,Radiant Yellow Rigel Ring,,
RG0046C,Radiant Pink Rigel Ring,,
RG0047A,Luminous White Lyra Ring,,
RG0047B,Luminous Yellow Lyra Ring,,
RG0047C,Luminous Pink Lyra Ring,,
RG0048A,Turas Tiana in Yellow Gold Ring,,
RG0048B,Turas Tiana in Pink Gold Ring,,
RG0048C,Turas Tiana in White Gold Ring,,
RG0049A,Ribbon of Honor in Yellow Gold Ring,,
RG0049B,Ribbon of Honor in Pink Gold Ring,,
RG0050A,Tantalizing Trillium in Yellow Gold Ring,,
RG0050B,Tantalizing Trillium in Pink Gold Ring,,`
RG0050C,Tantalizing Trillium in White Gold Ring,,
RG0051A,Open Sesame Ring,,
RG0056A,Nizam's Triumph Ring,,
RG0057A,Midnight Star Ring,,
RG0059A,Azure Brilliance Ring,,
RG0067A,Gaelic Globe Ring,,
RG0072A,Ravishing Rapunzel in White Gold,,
RG0072B,Ravishing Rapunzel in Yellow Gold,,
RG0072C,Ravishing Rapunzel in Pink Gold,,
RG0073A,Splendorous Astra Ring,,
RG0074A,Twisted Fantasy in White Gold Ring,,
RG0074B,Twisted Fantasy in Pink Gold Ring,,
RG0075A,Encircling Charm Ring,,
RG0076A,Soul of Winter in White Gold Ring,,
RG0076B,Soul of Winter in Pink Gold Ring,,
RG0077A,Enchanting Rosette Ring,,
RG0078A,Chamber of Diamonds Ring,,
RG0080A,White Aurora Ring,,
RG0081A,Star Trek in Yellow Gold Ring,,
RG0082A,Crimson Cretan Ring,,
RG0083A,Green Cretan Ring,,
RG0084A,Victorian Grandeur Ring,,
