sku,grade,size,quantity
ER0001A,VVS-EF,,BANGALORE=1
ER0004A,SI-GH,,BANGALORE=1
ER0007A,SI-GH,,BANGALORE=1
ER0009A,SI-GH,,BANGALORE=1
NK0001A,SI-GH,,BANGALORE=1
NE0001A,SI-GH,,BANGALORE=1
NK0002A,SI-GH,,BANGALORE=1
NE0002A,SI-GH,,BANGALORE=1
PD0001A,VVS-EF,,BANGALORE=1
RG0001B,SI-GH,15,BANGALORE=1
ER0015A,SI-GH,,BANGALORE=1
NE0007A,SI-GH,,BANGALORE=1
NK0007A,SI-GH,,BANGALORE=1
NE0008A,SI-GH,,BANGALORE=1
RG0005A,SI-GH,13,BANGALORE=1
PD0007A,SI-GH,,BANGALORE=1
NE0010A,SI-GH,,BANGALORE=1
NK0010A,SI-GH,,BANGALORE=1
PD0008A,SI-GH,,BANGALORE=1
RG0006A,SI-GH,11,BANGALORE=1
RG0007A,SI-GH,13,BANGALORE=1
ER0020A,SI-GH,,BANGALORE=1
PD0009A,SI-GH,,BANGALORE=1
NK0012A,SI-GH,,BANGALORE=1
NE0012A,SI-GH,,BANGALORE=1
RG0008A,SI-GH,13,BANGALORE=1
NE0014A,SI-GH,,BANGALORE=1
NK0014A,SI-GH,,BANGALORE=1
NE0015A,SI-GH,,BANGALORE=1
NK0015A,SI-GH,,BANGALORE=1
RG0011A,SI-GH,11,BANGALORE=1
NK0017A,SI-GH,,BANGALORE=1
NE0017A,SI-GH,,BANGALORE=1
PD0016A,SI-GH,,BANGALORE=1
RG0015A,SI-GH,13,BANGALORE=1
RG0016A,SI-GH,13,BANGALORE=1
NE0020A,SI-GH,,BANGALORE=1
NK0020A,SI-GH,,BANGALORE=1
NE0021A,SI-GH,,BANGALORE=1
NK0021A,SI-GH,,BANGALORE=1
RG0017B,SI-GH,12,BANGALORE=1
RG0017A,SI-GH,13,BANGALORE=2
RG0017A,SI-GH,20,BANGALORE=2
PD0020A,SI-GH,,BANGALORE=1
RG0019A,SI-GH,13,BANGALORE=1
ER0035A,SI-GH,,BANGALORE=1
ER0039A,SI-GH,,BANGALORE=1
PD0029A,SI-GH,,BANGALORE=1
RG0030A,SI-GH,12,BANGALORE=1
RG0033A,SI-GH,13,BANGALORE=1
ER0047A,SI-GH,,BANGALORE=1
RG0036A,SI-GH,13,BANGALORE=1
RG0037A,SI-GH,14,BANGALORE=1
ER0062A,VVS-EF,,BANGALORE=1
RG0049A,SI-GH,13,BANGALORE=1
RG0050B,SI-GH,13,BANGALORE=1
RG0051A,SI-GH,13,BANGALORE=1
RG0057A,SI-GH,14,BANGALORE=1
PD0062A,SI-GH,,BLR1=4
ER0078A,SI-GH,,BANGALORE=1
RG0067A,SI-GH,12,BANGALORE=1
PD0072A,SI-GH,,BANGALORE=1
RG0072C,SI-GH,12,BANGALORE=1
RG0073A,SI-GH,13,BANGALORE=1
RG0076B,SI-GH,13,BANGALORE=1
RG0078A,SI-GH,13,BANGALORE=1
ER0093A,SI-GH,,BANGALORE=1
RG0081A,SI-GH,13,BANGALORE=1
PD0083A,SI-GH,,BANGALORE=1
RG0082A,SI-GH,14,BANGALORE=1
PD0086A,SI-GH,,BANGALORE=1
ER0099A,SI-GH,,BANGALORE=1
ER0100A,SI-GH,,BANGALORE=1
RG0088A,SI-GH,13,BANGALORE=1
RG0089A,SI-GH,12,BANGALORE=1
ER0102A,SI-GH,,BANGALORE=1
RG0090A,SI-GH,13,BANGALORE=1
ER0104A,SI-GH,,BANGALORE=1
ER0109A,SI-GH,,BANGALORE=1
RG0096A,SI-GH,12,BANGALORE=1
RG0098A,SI-GH,13,BANGALORE=1
RG0100C,SI-GH,12,BANGALORE=1
RG0101A,SI-GH,12,BANGALORE=1
RG0102A,SI-GH,12,BANGALORE=1
ER0115A,SI-GH,,BANGALORE=1;BLR1=1
RG0103A,SI-GH,13,BANGALORE=1
RG0106A,SI-GH,12,BANGALORE=1
ER0120A,SI-GH,,BANGALORE=1
RG0107A,SI-GH,13,BANGALORE=1
RG0108A,SI-GH,12,BANGALORE=1
ER0121A,SI-GH,,BANGALORE=1
RG0109A,SI-GH,13,BANGALORE=2
RG0109A,SI-GH,25,BANGALORE=2
ER0127A,SI-GH,,BANGALORE=1
ER0128A,SI-GH,,BANGALORE=1
RG0116C,SI-GH,12,BANGALORE=1
RG0117B,SI-GH,12,BANGALORE=1
RG0117A,SI-GH,19,BANGALORE=1
RG0118A,SI-GH,13,BANGALORE=1
RG0119A,SI-GH,12,BANGALORE=1
RG0121A,SI-GH,13,BANGALORE=1
RG0123A,SI-GH,14,BANGALORE=1
RG0124A,SI-GH,13,BANGALORE=1
RG0125A,SI-GH,14,BANGALORE=1
RG0126A,SI-GH,13,BANGALORE=1
ER0140A,SI-GH,,BANGALORE=1
PD0130A,SI-GH,,BANGALORE=1
RG0130A,SI-GH,13,BANGALORE=1
ER0144A,SI-GH,,BANGALORE=1
RG0131A,SI-GH,13,BANGALORE=1
ER0145A,SI-GH,,BANGALORE=1
RG0132A,SI-GH,13,BANGALORE=1
RG0133A,SI-GH,12,BANGALORE=1
ER0146A,SI-GH,,BANGALORE=1
RG0134A,SI-GH,13,BANGALORE=1
RG0135A,SI-GH,12,BANGALORE=1
PD0141A,SI-GH,,BANGALORE=1
PD0142A,SI-GH,,BANGALORE=1
RG0140A,SI-GH,12,BANGALORE=1
RG0141B,SI-GH,13,BANGALORE=1
ER0154A,SI-GH,,BANGALORE=1
RG0142A,SI-GH,13,BANGALORE=1
RG0143A,SI-GH,12,BANGALORE=1
RG0146B,SI-GH,12,BANGALORE=1
RG0147A,SI-GH,13,BANGALORE=1
PD0150A,SI-GH,,BANGALORE=1
RG0150A,SI-GH,13,BANGALORE=1
RG0151A,SI-GH,13,BANGALORE=1
RG0152A,SI-GH,12,BANGALORE=1
RG0153B,SI-GH,13,BANGALORE=1
RG0154A,SI-GH,13,BANGALORE=1
RG0155A,SI-GH,13,BANGALORE=1
ER0168A,SI-GH,,BANGALORE=1
ER0171A,SI-GH,,BANGALORE=1
RG0162A,SI-GH,16,BANGALORE=1
RG0167A,SI-GH,16,BANGALORE=1
RG0168A,SI-GH,15,BANGALORE=1
ER0183A,SI-GH,,BANGALORE=1
ER0186A,SI-GH,,BANGALORE=1
ER0188A,SI-GH,,BANGALORE=1
RG0175A,SI-GH,15,BANGALORE=1
RG0176A,SI-GH,14,BANGALORE=1
ER0191A,SI-GH,,BANGALORE=1
RG0189A,SI-GH,18,BANGALORE=1
RG0190A,VVS-EF,6,BANGALORE=1
RG0196A,SI-GH,17,BANGALORE=1
RG0198A,SI-GH,12,BANGALORE=1
RG0199A,SI-GH,18,BANGALORE=1
RG0200A,SI-GH,5,BANGALORE=7
RG0200A,VVS-EF,5,BANGALORE=7
RG0200A,SI-GH,16,BANGALORE=7
RG0200A,SI-GH,19,BANGALORE=7
ER0217A,SI-GH,,BANGALORE=1
RG0205A,SI-GH,15,BANGALORE=1
RG0209A,SI-GH,15,BANGALORE=1
ER0227A,SI-GH,,BANGALORE=1
ER0228A,SI-GH,,BANGALORE=1
ER0229A,SI-GH,,BANGALORE=2
ER0229A,VVS-EF,,BANGALORE=2
ER0234A,SI-GH,,BANGALORE=1
RG0222A,SI-GH,14,BANGALORE=1
ER0236A,SI-GH,,BANGALORE=1
ER0237A,SI-GH,,BANGALORE=1
ER0238A,SI-GH,,BANGALORE=1
ER0240A,SI-GH,,BANGALORE=1
ER0247A,SI-GH,,BANGALORE=1
ER0250A,SI-GH,,BANGALORE=1
ER0251A,SI-GH,,BANGALORE=1
RG0238A,SI-GH,7,BANGALORE=1
ER0252A,SI-GH,,BANGALORE=1
ER0254A,SI-GH,,BANGALORE=1
ER0255A,SI-GH,,BANGALORE=1
ER0256A,SI-GH,,BANGALORE=1
RG0243A,SI-GH,11,BANGALORE=2
RG0243A,SI-GH,7,BANGALORE=2
ER0258A,SI-GH,,BANGALORE=1
ER0260A,SI-GH,,BANGALORE=1
PD0251A,SI-GH,,BANGALORE=1
ER0263A,SI-GH,,BANGALORE=1
PD0252A,SI-GH,,BANGALORE=1
ER0264A,SI-GH,,BANGALORE=1
PD0253A,SI-GH,,BANGALORE=1
PD0254A,SI-GH,,BANGALORE=1
ER0265A,SI-GH,,BANGALORE=1
ER0266A,SI-GH,,BANGALORE=1
PD0255A,SI-GH,,BANGALORE=1
PD0256A,SI-GH,,BANGALORE=1
ER0271A,SI-GH,,BANGALORE=1
ER0272A,SI-GH,,BANGALORE=1
ER0273A,SI-GH,,BANGALORE=1
