serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
1,ER0530A,ER0530A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold:Symmetric Splendour,,29.5,8.5,18KT YELLOW GOLD,3.69,3.658,7587,3109,ROUND,SI,GH,66,0.16,11200,16480,,,0,0,0,219,22115,272,27448,
2,ER0545A,ER0545A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,ABSTRACT FRAMEWORK OF DESIGN SET IN 18K GOLD WITH HIGH GLOSSY FINISH IS CHERRY TOPPED WITH A CLASSY NATURAL PEARL. THE CONTEMPORARY VOGUE WITH A MEDIEVAL TOUCH OF ART IS MEANT TO WEAR FOR ANY FORMAL FUNCTION,31.5,9.71,18KT YELLOW GOLD,8.22,6.676,13847,5675,ROUND,SI,GH,74,0.45,31500,46350,CREAM PEARL,ROUND,2,7.27,909,519,52450,668,67449,
3,ER0547A,ER0547A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold:Just Jhumkas,"ADD ALLURE TO YOUR ENSEMBLE BY WEARING THESE LUXURIOUS EARRINGS. WHERE TRADITION MEETS MODERNITY, THESE VERSATILE DROPS OF HIGH QUALITY ARE GREAT FOR GIFTING YOUR BELOVED ONE, FOR HER BIRTHDAY OR ANNIVERSARY",27.36,11.05,18KT YELLOW GOLD,8.16,6.596,13681,5607,ROUND,SI,GH,88,0.51,35700,52530,CREAM PEARL,ROUND,2,7.31,914,559,56461,727,73459,
4,ER0551A,ER0551A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Daily Dazzle:Drops & Domes:Glitz & Gold:Just Jhumkas,,27.47,11.14,18KT YELLOW GOLD,10.3,8.762,18173,6572,ROUND,SI,GH,72,0.42,29400,43260,CREAM PEARL,ROUND,2,7.27,909,551,55605,689,69603,
5,ER0560A,ER0560A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,46.08,14.02,18KT YELLOW GOLD,16.65,12.238,25383,9178,ROUND,SI,GH,72,0.48,33600,49440,"CREAM PEARL,CREAM PEARL","ROUND,ROUND",4,21.58,2698,709,71568,867,87566,
6,ER0579A,ER0579A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Daily Dazzle:Glitz & Gold:Just Jhumkas,,29.5,12.87,18KT YELLOW GOLD,12.16,9.228,19140,6921,ROUND,SI,GH,46,0.4,28000,41200,CREAM PEARL,ROUND,2,14.26,1783,558,56402,690,69734,
7,ER0580A,ER0580A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Daily Dazzle:Drops & Domes:Symmetric Splendour,,30.5,10,18KT YELLOW GOLD,9.5,6.55,13585,5568,ROUND,SI,GH,82,0.43,30100,44290,CREAM PEARL,ROUND,2,14.32,1790,510,51553,652,65885,
8,ER0591A,ER0591A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold:Just Jhumkas,,21.38,15.1,18KT YELLOW GOLD,11.63,9.312,19314,6984,ROUND,SI,GH,94,0.63,44100,64890,"RAINFOREST GREEN TOPAZ,CREAM PEARL","ROUND,ROUND",26,10.96,4012,744,75154,952,96152,
9,ER0595A,ER0595A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Daily Dazzle:Glitz & Gold,,31.5,10.6,18KT YELLOW GOLD,4.33,4.134,8574,3514,ROUND,SI,GH,100,0.4,28000,41200,"SWAROVSKI GREEN ,RAINFOREST GREEN TOPAZ","ROUND,OVAL",12,0.58,2005,421,42514,553,55846,
10,ER0597A,ER0597A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold:Romancing Rocks,,41,7.6,18KT YELLOW GOLD,4.6,4.036,8371,3431,ROUND,SI,GH,20,0.26,18200,26780,RAINFOREST GREEN TOPAZ,OVAL,2,2.56,5120,351,35473,437,44139,
