sku,_store,_attribute_set,_type,diamondprice,diamondtotalweight,gemstoneprice,gemstonetotalweight,goldprice,goldweight,grade,has_options,height,makingcharge,minimal_price,price,ringsize,status,tax_class_id,totalnoofdiamonds,totalnoofgemstone,vat,visibility,weight,width,_associated_sku,_associated_default_qty,_associated_position,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
BR0036B-si-gh-43x53,,jewel,simple,33600,0.48,600,0.12,8607.62,4.15,SI-GH,0,48,3527.5,,46798.47,H - 43 mm x W - 53 mm - (2.2),1,7,72,12,463.35,1,0,58,,,,,,,
BR0036B-si-gh-44x54,,jewel,simple,33600,0.48,600,0.12,10681.75,5.15,SI-GH,0,48,4377.5,,49751.84,H - 44 mm x W - 54 mm - (2.3),1,7,72,12,492.59,1,0,58,,,,,,,
BR0036B-si-gh-45x55,,jewel,simple,33600,0.48,600,0.12,12755.87,6.15,SI-GH,0,48,5227.5,,52705.21,H - 45 mm x W - 55 mm - (2.4),1,7,72,12,521.83,1,0,58,,,,,,,
BR0036B-si-gh-48x58,,jewel,simple,33600,0.48,600,0.12,14830,7.15,SI-GH,0,48,5362.5,,54936.43,H - 48 mm x W - 58 mm - (2.5),1,7,72,12,543.92,1,0,58,,,,,,,
BR0036B-si-gh-50x60,,jewel,simple,33600,0.48,600,0.12,16904.13,8.15,SI-GH,0,48,6112.5,,57788.79,H - 50 mm x W - 60 mm - (2.6),1,7,72,12,572.17,1,0,58,,,,,,,
BR0036B-vvs-ef-43x53,,jewel,simple,49440,0.48,600,0.12,8607.62,4.15,VVS-EF,0,48,3527.5,,62796.87,H - 43 mm x W - 53 mm - (2.2),1,7,72,12,621.75,1,0,58,,,,,,,
BR0036B-vvs-ef-44x54,,jewel,simple,49440,0.48,600,0.12,10681.75,5.15,VVS-EF,0,48,4377.5,,65750.24,H - 44 mm x W - 54 mm - (2.3),1,7,72,12,650.99,1,0,58,,,,,,,
BR0036B-vvs-ef-45x55,,jewel,simple,49440,0.48,600,0.12,12755.87,6.15,VVS-EF,0,48,5227.5,,68703.61,H - 45 mm x W - 55 mm - (2.4),1,7,72,12,680.23,1,0,58,,,,,,,
BR0036B-vvs-ef-48x58,,jewel,simple,49440,0.48,600,0.12,14830,7.15,VVS-EF,0,48,5362.5,,70934.82,H - 48 mm x W - 58 mm - (2.5),1,7,72,12,702.33,1,0,58,,,,,,,
BR0036B-vvs-ef-50x60,,jewel,simple,49440,0.48,600,0.12,16904.13,8.15,VVS-EF,0,48,6112.5,,73787.19,H - 50 mm x W - 60 mm - (2.6),1,7,72,12,730.57,1,0,58,,,,,,,
